"source"	"target"	"time"
"Linny"	"joy"	2
"Linny"	"Rimon"	2
"Linny"	"°ëÉ½"	2
"Linny"	"+"	1
"Linny"	"Amelie he"	1
"Linny"	"Jack"	1
"Linny"	"Kevin"	1
"Linny"	"Ling"	1
"Linny"	"Ney"	1
"Linny"	"Rebecca_H"	1
"Linny"	"Stars"	1
"Linny"	"Tammy"	1
"Linny"	"Vince"	1
"Linny"	"zyw"	1
"Linny"	"ºÎ"	1
"Linny"	"¾°ÌÎ"	1
"Linny"	"Áõ¾ü"	1
"Linny"	"ÆâÆâ"	1
"Linny"	"É½Õäº£Î¶"	1
"Linny"	"Ê¢ÏÄ"	1
"Linny"	"ÍõÜç"	1
"Linny"	"ĞÇĞÇ"	1
"Linny"	"ĞÜ"	1
"Linny"	"Ñ©½¿"	1
"Linny"	"ÑàÃ÷"	1
"Linny"	"ÓêÖæ"	1
"Linny"	"ÖÇ»Û¾ı"	1
"Linny"	"ÖìµÏ"	1
