"source"	"target"	"time"
"YuryÑãæÂ"	"ÙâÕÕ"	3
"YuryÑãæÂ"	"¹âÃ¢"	2
"YuryÑãæÂ"	"Ë³È»"	2
"YuryÑãæÂ"	"ÏôÔÆ"	2
"YuryÑãæÂ"	"Benny"	1
"YuryÑãæÂ"	"dandelion"	1
"YuryÑãæÂ"	"Erai"	1
"YuryÑãæÂ"	"Fancy"	1
"YuryÑãæÂ"	"Jack"	1
"YuryÑãæÂ"	"linji"	1
"YuryÑãæÂ"	"lisa"	1
"YuryÑãæÂ"	"mina"	1
"YuryÑãæÂ"	"new"	1
"YuryÑãæÂ"	"Ray"	1
"YuryÑãæÂ"	"Riean"	1
"YuryÑãæÂ"	"Sandy"	1
"YuryÑãæÂ"	"stars"	1
"YuryÑãæÂ"	"Tina"	1
"YuryÑãæÂ"	"Ur.Later"	1
"YuryÑãæÂ"	"X"	1
"YuryÑãæÂ"	"±ò"	1
"YuryÑãæÂ"	"µ°µ°"	1
"YuryÑãæÂ"	"·¿"	1
"YuryÑãæÂ"	"·Ò·Ò"	1
"YuryÑãæÂ"	"·ïÎè"	1
"YuryÑãæÂ"	"º£À¶"	1
"YuryÑãæÂ"	"åÈÄÏ"	1
"YuryÑãæÂ"	"¿û×Ó"	1
"YuryÑãæÂ"	"ÀîĞ¡´Ïd"	1
"YuryÑãæÂ"	"ÀîÕ¹Ææ"	1
"YuryÑãæÂ"	"ÀîÖÎ"	1
"YuryÑãæÂ"	"Ä©Ò³·ÇÄ©Ò³"	1
"YuryÑãæÂ"	"Ä¾µ¶ºÌ"	1
"YuryÑãæÂ"	"ÄÏÉ½"	1
"YuryÑãæÂ"	"ÅÖÆó¶ì"	1
"YuryÑãæÂ"	"Æ®¶ù"	1
"YuryÑãæÂ"	"Ç®"	1
"YuryÑãæÂ"	"ÇÉÔÆ"	1
"YuryÑãæÂ"	"ÇïÓî"	1
"YuryÑãæÂ"	"Ê«Ó±"	1
"YuryÑãæÂ"	"ËÎº£"	1
"YuryÑãæÂ"	"ËæĞÄ"	1
"YuryÑãæÂ"	"ÌÔÆøµÄÕÅÏÈÉ­"	1
"YuryÑãæÂ"	"Î÷¹Ï"	1
"YuryÑãæÂ"	"Ğ¡ÇÇ"	1
"YuryÑãæÂ"	"Ğ¡äÚä¢"	1
"YuryÑãæÂ"	"Ğ¡Ìú"	1
"YuryÑãæÂ"	"Ğ¡Ğ¡"	1
"YuryÑãæÂ"	"ĞìÀÚ"	1
"YuryÑãæÂ"	"ÑîÇ¿"	1
"YuryÑãæÂ"	"ÑîĞÀ"	1
"YuryÑãæÂ"	"ÓÀ»Û"	1
"YuryÑãæÂ"	"ÓĞÔµÈË"	1
