"source"	"target"	"time"
"ruiwen"	"8¶Ö"	3
"ruiwen"	"chengxc"	3
"ruiwen"	"ÓÀ»Û"	3
"ruiwen"	"sherry"	2
"ruiwen"	"åÈÄÏ"	2
"ruiwen"	"ÄÏÉ½"	2
"ruiwen"	"Çñ"	2
"ruiwen"	"Î¬ÏÍ"	2
"ruiwen"	"Anna"	1
"ruiwen"	"April"	1
"ruiwen"	"Charlene"	1
"ruiwen"	"Chris"	1
"ruiwen"	"chrish_1222"	1
"ruiwen"	"Dylan"	1
"ruiwen"	"felikex"	1
"ruiwen"	"Felikex"	1
"ruiwen"	"JL"	1
"ruiwen"	"joy"	1
"ruiwen"	"Lulu"	1
"ruiwen"	"night"	1
"ruiwen"	"score"	1
"ruiwen"	"Seki"	1
"ruiwen"	"tammy"	1
"ruiwen"	"vijay"	1
"ruiwen"	"°ëÉ½"	1
"ruiwen"	"±±Ö®Óã"	1
"ruiwen"	"İí"	1
"ruiwen"	"±ò"	1
"ruiwen"	"³Ì±¦Öé"	1
"ruiwen"	"µÆ»ğ"	1
"ruiwen"	"¶÷¶÷"	1
"ruiwen"	"¹¬²ØÒ»µ¶"	1
"ruiwen"	"ĞĞÕßÎŞ½®"	1
"ruiwen"	"ºïÃæ°üÊ÷"	1
"ruiwen"	"»¨Ïã"	1
"ruiwen"	"ÀÍÏşö©"	1
"ruiwen"	"ÀëÓÓ"	1
"ruiwen"	"ÁÖ¶¬"	1
"ruiwen"	"Ã¢¹û"	1
"ruiwen"	"Ä«°×"	1
"ruiwen"	"Å·"	1
"ruiwen"	"Å·Âô¸Á"	1
"ruiwen"	"ÅÖÆó¶ì"	1
"ruiwen"	"ÇàÓñ"	1
"ruiwen"	"ÈıÒ¶"	1
"ruiwen"	"Ê«Ãô"	1
"ruiwen"	"Ê«İæÒÀÃÎ"	1
"ruiwen"	"Ê±¼äÖóÓê"	1
"ruiwen"	"Ë³È»"	1
"ruiwen"	"Íã¶¹"	1
"ruiwen"	"Ğ¤ÁúÈ¨"	1
"ruiwen"	"Ğ¡ÇÇ"	1
"ruiwen"	"ĞÜÃ¨"	1
"ruiwen"	"ĞìÀÚ"	1
"ruiwen"	"ÑÕ"	1
"ruiwen"	"Ò¶ÎÄÌÏ"	1
"ruiwen"	"Ò¶×Ó"	1
"ruiwen"	"ÒüÄş"	1
"ruiwen"	"Ö®ºõ"	1
"ruiwen"	"×íÇå·ã"	1
"ruiwen"	"×ó½Å´©ÓÒ½Å"	1
