"source"	"target"	"time"
"Ä«°×"	"chengxc"	2
"Ä«°×"	"joy"	2
"Ä«°×"	"Ýí"	2
"Ä«°×"	"±ò"	2
"Ä«°×"	"ÙâÕÕ"	2
"Ä«°×"	"adam"	1
"Ä«°×"	"Amelie he"	1
"Ä«°×"	"Candice"	1
"Ä«°×"	"Charlene"	1
"Ä«°×"	"Emily"	1
"Ä«°×"	"Hilda Chai"	1
"Ä«°×"	"Jean"	1
"Ä«°×"	"Kan ke"	1
"Ä«°×"	"Laughing"	1
"Ä«°×"	"Lin"	1
"Ä«°×"	"Nancy"	1
"Ä«°×"	"Pher"	1
"Ä«°×"	"ruiwen"	1
"Ä«°×"	"tammy"	1
"Ä«°×"	"Xidi"	1
"Ä«°×"	"zyw"	1
"Ä«°×"	"°¢Ä¾"	1
"Ä«°×"	"°ëÉ½"	1
"Ä«°×"	"´¬³¤Î¤²®"	1
"Ä«°×"	"¶¬·Ç¶«"	1
"Ä«°×"	"ºÎ"	1
"Ä«°×"	"»ÆÖÜÖÜ"	1
"Ä«°×"	"½¯ÔóÁú"	1
"Ä«°×"	"¿à¹Ï¾ú"	1
"Ä«°×"	"ÁÖ¶¬½à"	1
"Ä«°×"	"ÁÖ¶¬"	1
"Ä«°×"	"ÁáÁá"	1
"Ä«°×"	"ÁõÊ¯Ñó×Ó"	1
"Ä«°×"	"Âú¿Ú´üµÄ·ç"	1
"Ä«°×"	"Å·Âô¸Á"	1
"Ä«°×"	"ÇÒÌý·çÒ÷"	1
"Ä«°×"	"Éò¿­"	1
"Ä«°×"	"Ê±¼äÖóÓê"	1
"Ä«°×"	"Ð¤ÁúÈ¨"	1
"Ä«°×"	"ÏôÔÆ"	1
"Ä«°×"	"Ð¡ÇÇ"	1
"Ä«°×"	"Ð¡Ð¡ÑÅ"	1
"Ä«°×"	"Ð¡ÑÅ"	1
"Ä«°×"	"ÐìÀÚ"	1
"Ä«°×"	"Ðý"	1
"Ä«°×"	"ÓêÖæ"	1
"Ä«°×"	"ÔÀÖ¾»Û"	1
"Ä«°×"	"ÕÅË¼ÃÛ´ï"	1
"Ä«°×"	"×Þè¡Edward"	1
