"source"	"target"	"time"
"׀לְÚ"	"ִֹֿ½"	5
"׀לְÚ"	"chengxc"	4
"׀לְÚ"	"¿א¹ֿ¾ת"	4
"׀לְÚ"	"joy"	3
"׀לְÚ"	"±ע"	3
"׀לְÚ"	"Ùגױױ"	3
"׀לְÚ"	"8¶ײ"	2
"׀לְÚ"	"Ray"	2
"׀לְÚ"	"Rimon"	2
"׀לְÚ"	"÷־"	2
"׀לְÚ"	"ֲף׳׃"	2
"׀לְÚ"	"ַא׃ס"	2
"׀לְÚ"	"ַס"	2
"׀לְÚ"	"Amelie he"	1
"׀לְÚ"	"April"	1
"׀לְÚ"	"Bella"	1
"׀לְÚ"	"Candice"	1
"׀לְÚ"	"Chengwei"	1
"׀לְÚ"	"Chris"	1
"׀לְÚ"	"dandelion"	1
"׀לְÚ"	"Dylan"	1
"׀לְÚ"	"Emily"	1
"׀לְÚ"	"Erai"	1
"׀לְÚ"	"Gloria"	1
"׀לְÚ"	"Jack"	1
"׀לְÚ"	"Jie"	1
"׀לְÚ"	"Laughing"	1
"׀לְÚ"	"Nancy"	1
"׀לְÚ"	"Pher"	1
"׀לְÚ"	"ruiwen"	1
"׀לְÚ"	"score"	1
"׀לְÚ"	"Sunny"	1
"׀לְÚ"	"Ur.Later"	1
"׀לְÚ"	"Versonado"	1
"׀לְÚ"	"vijay"	1
"׀לְÚ"	"Yuryׁדזֲ"	1
"׀לְÚ"	"zyw"	1
"׀לְÚ"	"°¢ִ¾"	1
"׀לְÚ"	"°¥׃´־¹"	1
"׀לְÚ"	"Ýם"	1
"׀לְÚ"	"´ֿ"	1
"׀לְÚ"	"´ק׀ְ"	1
"׀לְÚ"	"¶¬½א"	1
"׀לְÚ"	"·¿"	1
"׀לְÚ"	"·ן־ט"	1
"׀לְÚ"	"¸׃ִֶֿך³ָ"	1
"׀לְÚ"	"¹¬²״ׂ»µ¶"	1
"׀לְÚ"	"¹גֳ¢"	1
"׀לְÚ"	"¹‏¿גְ­ֲךֻ‏ֻ‏"	1
"׀לְÚ"	"÷£ְ¶"	1
"׀לְÚ"	"»ֶֹÙ»×"	1
"׀לְÚ"	"»ֶײÜײÜ"	1
"׀לְÚ"	"וִָֿ"	1
"׀לְÚ"	"½Ü"	1
"׀לְÚ"	"ְמײ־"	1
"׀לְÚ"	"ֱבֱב"	1
"׀לְÚ"	"ֳִ"	1
"׀לְÚ"	"ֳװ_Martin"	1
"׀לְÚ"	"ִ©ׂ³·ִַ©ׂ³"	1
"׀לְÚ"	"ִ«°׳"	1
"׀לְÚ"	"ִ¾׳׃"	1
"׀לְÚ"	"ִÝִÝ..honey"	1
"׀לְÚ"	"ִךַב׳Üׂ×ׂ»³¡ֳ־"	1
"׀לְÚ"	"ֵײֶף¶ל"	1
"׀לְÚ"	"ַֹװֶ"	1
"׀לְÚ"	"ֻ×"	1
"׀לְÚ"	"ֻ³ָ»"	1
"׀לְÚ"	"ֻז׀ִ"	1
"׀לְÚ"	"ֽץ׃¨"	1
"׀לְÚ"	"־¬ֹתֻ״E"	1
"׀לְÚ"	"־ק¹ֿ"	1
"׀לְÚ"	"׀₪ֱתָ¨"	1
"׀לְÚ"	"׀¡ַַ"	1
"׀לְÚ"	"׀¡הÚה¢"	1
"׀לְÚ"	"׀¡ּת"	1
"׀לְÚ"	"׀¡׀¡´÷"	1
"׀לְÚ"	"׀¡׀¡ַÛ"	1
"׀לְÚ"	"ײx׀¡÷®"	1
"׀לְÚ"	"׀ַ׀ַ"	1
"׀לְÚ"	"ׂ¶׳׃"	1
"׀לְÚ"	"ׂ»ׂ»"	1
"׀לְÚ"	"ׂüׂ»"	1
"׀לְÚ"	"׃ְ»Û"	1
"׀לְÚ"	"׃ךײז"	1
"׀לְÚ"	"װֲֵׁ÷®"	1
"׀לְÚ"	"ױֵֻ¼ֳÛ´ן"	1
"׀לְÚ"	"ײ®÷ץ"	1
"׀לְÚ"	"׳©׀ִ"	1
"׀לְÚ"	"׳Þט¡Edward"	1
