"source"	"target"	"time"
"Ä¾Ä¾"	"Á÷»¨"	2
"Ä¾Ä¾"	"A¸ßÂüÖÇÄÜ"	1
"Ä¾Ä¾"	"big bear"	1
"Ä¾Ä¾"	"chengxc"	1
"Ä¾Ä¾"	"Erai"	1
"Ä¾Ä¾"	"H"	1
"Ä¾Ä¾"	"Hilda Chai"	1
"Ä¾Ä¾"	"JA_½´"	1
"Ä¾Ä¾"	"joy"	1
"Ä¾Ä¾"	"LRF"	1
"Ä¾Ä¾"	"Lucy"	1
"Ä¾Ä¾"	"PIG"	1
"Ä¾Ä¾"	"Rebecca_H"	1
"Ä¾Ä¾"	"sherry"	1
"Ä¾Ä¾"	"sherryÌ«Ñô"	1
"Ä¾Ä¾"	"stars"	1
"Ä¾Ä¾"	"°¢Â¡"	1
"Ä¾Ä¾"	"Ýí"	1
"Ä¾Ä¾"	"²Ì³¬"	1
"Ä¾Ä¾"	"³Â¼ªÏé"	1
"Ä¾Ä¾"	"³Ì"	1
"Ä¾Ä¾"	"³ÌÁú"	1
"Ä¾Ä¾"	"·ÊÄ§"	1
"Ä¾Ä¾"	"»¨ÎÞ¶à"	1
"Ä¾Ä¾"	"»ÆÍñ"	1
"Ä¾Ä¾"	"¿ÉÀÖ"	1
"Ä¾Ä¾"	"¿ÉÀÖ¼Ó±ù"	1
"Ä¾Ä¾"	"ÁÖ¶¬½à"	1
"Ä¾Ä¾"	"ÁõãåÓê"	1
"Ä¾Ä¾"	"ÂÞÊ«Ãô"	1
"Ä¾Ä¾"	"Âí¶¡"	1
"Ä¾Ä¾"	"Âú¿Ú´üµÄ·ç"	1
"Ä¾Ä¾"	"ÅËÔ¾³å"	1
"Ä¾Ä¾"	"Çñ"	1
"Ä¾Ä¾"	"Ë³È»"	1
"Ä¾Ä¾"	"ÍõºÆ"	1
"Ä¾Ä¾"	"Î´ÎÅ»¨Ãû"	1
"Ä¾Ä¾"	"ÎäÖÜÓª"	1
"Ä¾Ä¾"	"ÏôÔÆ"	1
"Ä¾Ä¾"	"Ð¡ÑÅ"	1
"Ä¾Ä¾"	"ÑÕ"	1
"Ä¾Ä¾"	"ÑýÑý"	1
"Ä¾Ä¾"	"ÒüÒ»"	1
"Ä¾Ä¾"	"ÔÀÖ¾»Û"	1
