"source"	"target"	"time"
"早早"	"joy"	3
"早早"	"yanshu"	2
"早早"	"8欽"	1
"早早"	"Amelie he"	1
"早早"	"Candice"	1
"早早"	"chengxc"	1
"早早"	"Emily"	1
"早早"	"Jack"	1
"早早"	"Laughing"	1
"早早"	"m! ao"	1
"早早"	"Mongo"	1
"早早"	"Nancy"	1
"早早"	"Pher"	1
"早早"	"sherry"	1
"早早"	"Xums"	1
"早早"	"Ya"	1
"早早"	"zyw"	1
"早早"	"伊禽"	1
"早早"	"磯表"	1
"早早"	"臼噬"	1
"早早"	"薗"	1
"早早"	"蛎早早"	1
"早早"	"採"	1
"早早"	"雑��"	1
"早早"	"仔巓巓"	1
"早早"	"逗肱醸"	1
"早早"	"爽喬準"	1
"早早"	"袋衂吩"	1
"早早"	"痴_Martin"	1
"早早"	"仲仲"	1
"早早"	"朝易"	1
"早早"	"掴表"	1
"早早"	"天"	1
"早早"	"泊"	1
"早早"	"弌浣"	1
"早早"	"仍凰剥"	1
"早早"	"俾切"	1
"早早"	"剋略詫"	1
"早早"	"劍赤謹"	1
"早早"	"勁宗"	1
"早早"	"咢輯"	1
"早早"	"哄匯"	1
"早早"	"喟斯"	1
"早早"	"嚏帑"	1
"早早"	"嫖蛎敬"	1
"早早"	"嫖房築器"	1
"早早"	"怡茵Edward"	1
