"source"	"target"	"time"
"砖心"	"Bella"	1
"砖心"	"Chengwei"	1
"砖心"	"chengxc"	1
"砖心"	"DC"	1
"砖心"	"Diana "	1
"砖心"	"Gloria"	1
"砖心"	"Jack"	1
"砖心"	"Memor_Y"	1
"砖心"	"Rimon"	1
"砖心"	"Sunny"	1
"砖心"	"Vivian猪"	1
"砖心"	"xiaojun"	1
"砖心"	"阿木"	1
"砖心"	"蓓"	1
"砖心"	"彬"	1
"砖心"	"聪"	1
"砖心"	"赣南脐橙"	1
"砖心"	"何"	1
"砖心"	"慧杰杰"	1
"砖心"	"杰"	1
"砖心"	"苦瓜菌"	1
"砖心"	"媚"	1
"砖心"	"迷_Martin"	1
"砖心"	"南山"	1
"砖心"	"年轻总要一场梦"	1
"砖心"	"彭光明"	1
"砖心"	"青玉"	1
"砖心"	"若邻"	1
"砖心"	"兮照"	1
"砖心"	"肖龙权"	1
"砖心"	"小铁"	1
"砖心"	"小微"	1
"砖心"	"小小春"	1
"砖心"	"笑"	1
"砖心"	"謝小寒"	1
"砖心"	"徐磊"	1
"砖心"	"袁博凯"	1
"砖心"	"袁盼盼"	1
"砖心"	"张升"	1
