"source"	"target"	"time"
"ÇïÓî"	"Ä¾µ¶ºÌ"	2
"ÇïÓî"	"Candice"	1
"ÇïÓî"	"K"	1
"ÇïÓî"	"leeshey"	1
"ÇïÓî"	"linji"	1
"ÇïÓî"	"lisa"	1
"ÇïÓî"	"LYÄ¾Ä¾"	1
"ÇïÓî"	"mina"	1
"ÇïÓî"	"stars"	1
"ÇïÓî"	"Tina"	1
"ÇïÓî"	"X"	1
"ÇïÓî"	"YuryÑãæÂ"	1
"ÇïÓî"	"ZYZ"	1
"ÇïÓî"	"İí"	1
"ÇïÓî"	"±ò"	1
"ÇïÓî"	"·Ò·Ò"	1
"ÇïÓî"	"¹âÃ¢"	1
"ÇïÓî"	"»ÆÍñ"	1
"ÇïÓî"	"¿û×Ó"	1
"ÇïÓî"	"ÀîĞ¡´Ïd"	1
"ÇïÓî"	"ÀîÕ¹Ææ"	1
"ÇïÓî"	"ÃÔ_Martin"	1
"ÇïÓî"	"Ç®"	1
"ÇïÓî"	"ËÎº£"	1
"ÇïÓî"	"ÌÔÆøµÄÕÅÏÈÉ­"	1
"ÇïÓî"	"ÙâÕÕ"	1
"ÇïÓî"	"ÏôÔÆ"	1
"ÇïÓî"	"Ğ¡äÚä¢"	1
"ÇïÓî"	"Ğ¡Ïª"	1
"ÇïÓî"	"Ğ¡Ğ¡"	1
"ÇïÓî"	"ÓàÁÖ·É"	1
"ÇïÓî"	"ÓêÖæ"	1
"ÇïÓî"	"ÕÅÉı"	1
"ÇïÓî"	"ÕÅË¼ÃÛ´ï"	1
