"source"	"target"	"time"
"²èÄà±¼±¼"	"Ýí"	3
"²èÄà±¼±¼"	"Ben"	2
"²èÄà±¼±¼"	"Hilda Chai"	2
"²èÄà±¼±¼"	"Jack"	2
"²èÄà±¼±¼"	"joy"	2
"²èÄà±¼±¼"	"³É†´"	2
"²èÄà±¼±¼"	"åÈÄÏ"	2
"²èÄà±¼±¼"	"½¯ÔóÁú"	2
"²èÄà±¼±¼"	"Ð¡Ìú"	2
"²èÄà±¼±¼"	"chengxc"	1
"²èÄà±¼±¼"	"Cong"	1
"²èÄà±¼±¼"	"double"	1
"²èÄà±¼±¼"	"Double"	1
"²èÄà±¼±¼"	"Focus"	1
"²èÄà±¼±¼"	"GwenÔøÉÙ"	1
"²èÄà±¼±¼"	"GY"	1
"²èÄà±¼±¼"	"In"	1
"²èÄà±¼±¼"	"Jessica"	1
"²èÄà±¼±¼"	"Jodie¼Ñ"	1
"²èÄà±¼±¼"	"Lucy"	1
"²èÄà±¼±¼"	"mingzi"	1
"²èÄà±¼±¼"	"Mingzi"	1
"²èÄà±¼±¼"	"orange"	1
"²èÄà±¼±¼"	"sallyË¼³Î"	1
"²èÄà±¼±¼"	"sherly"	1
"²èÄà±¼±¼"	"sky"	1
"²èÄà±¼±¼"	"Violet"	1
"²èÄà±¼±¼"	"X"	1
"²èÄà±¼±¼"	"°¢Ä¾"	1
"²èÄà±¼±¼"	"°ëÉ½"	1
"²èÄà±¼±¼"	"±ò"	1
"²èÄà±¼±¼"	"³Â¼ªÏé"	1
"²èÄà±¼±¼"	"·Ò·ÒZeng"	1
"²èÄà±¼±¼"	"¹âÃ¢"	1
"²èÄà±¼±¼"	"ºÎ"	1
"²èÄà±¼±¼"	"½ªì÷ìÇ"	1
"²èÄà±¼±¼"	"¾°ÌÎ"	1
"²èÄà±¼±¼"	"Ä¾µ¶ºÌ"	1
"²èÄà±¼±¼"	"ÅÖÆó¶ì"	1
"²èÄà±¼±¼"	"ÌÒ"	1
"²èÄà±¼±¼"	"Íß¶û¶«"	1
"²èÄà±¼±¼"	"Íõçâ Rhapsody"	1
"²èÄà±¼±¼"	"Ð¤ÁúÈ¨"	1
"²èÄà±¼±¼"	"Ð¡ÅÖæ¤"	1
"²èÄà±¼±¼"	"Ð¡ÇÇ"	1
"²èÄà±¼±¼"	"ÐÂÐÂ"	1
"²èÄà±¼±¼"	"ÓêÖæ"	1
"²èÄà±¼±¼"	"Óý»·"	1
"²èÄà±¼±¼"	"Ô¬ÅÎÅÎ"	1
"²èÄà±¼±¼"	"ÕÅÙ»"	1
"²èÄà±¼±¼"	"ÖÇ»Û¾ý"	1
