"source"	"target"	"time"
"ÏôÔÆ"	"ÙâÕÕ"	7
"ÏôÔÆ"	"Ð¡ÇÇ"	4
"ÏôÔÆ"	"Jack"	3
"ÏôÔÆ"	"yanshu"	3
"ÏôÔÆ"	"¹âÃ¢"	3
"ÏôÔÆ"	"Erai"	2
"ÏôÔÆ"	"Fancy"	2
"ÏôÔÆ"	"Hilda Chai"	2
"ÏôÔÆ"	"Jean"	2
"ÏôÔÆ"	"joy"	2
"ÏôÔÆ"	"Lin"	2
"ÏôÔÆ"	"YuryÑãæÂ"	2
"ÏôÔÆ"	"Ýí"	2
"ÏôÔÆ"	"±ò"	2
"ÏôÔÆ"	"´¬³¤Î¤²®"	2
"ÏôÔÆ"	"Âú¿Ú´üµÄ·ç"	2
"ÏôÔÆ"	"ÃÔ_Martin"	2
"ÏôÔÆ"	"ÄÏÉ½"	2
"ÏôÔÆ"	"Ð¡ÑÅ"	2
"ÏôÔÆ"	"ÔÀÖ¾»Û"	2
"ÏôÔÆ"	"adam"	1
"ÏôÔÆ"	"A¸ßÂüÖÇÄÜ"	1
"ÏôÔÆ"	"Ben"	1
"ÏôÔÆ"	"chengxc"	1
"ÏôÔÆ"	"Chris"	1
"ÏôÔÆ"	"Diana"	1
"ÏôÔÆ"	"Dylan"	1
"ÏôÔÆ"	"Elaine"	1
"ÏôÔÆ"	"Felikex"	1
"ÏôÔÆ"	"gaara"	1
"ÏôÔÆ"	"JA_½´"	1
"ÏôÔÆ"	"JasonÖ®¸»"	1
"ÏôÔÆ"	"linji"	1
"ÏôÔÆ"	"lisa"	1
"ÏôÔÆ"	"mina"	1
"ÏôÔÆ"	"PIG"	1
"ÏôÔÆ"	"ryan brunello "	1
"ÏôÔÆ"	"Snow"	1
"ÏôÔÆ"	"stars"	1
"ÏôÔÆ"	"Sunny"	1
"ÏôÔÆ"	"Tina"	1
"ÏôÔÆ"	"X"	1
"ÏôÔÆ"	"Xidi"	1
"ÏôÔÆ"	"°¢Ä¾"	1
"ÏôÔÆ"	"²ÊÏ¼"	1
"ÏôÔÆ"	"²Ì³¬"	1
"ÏôÔÆ"	"³ÂÔ£±ó"	1
"ÏôÔÆ"	"¶¬·Ç¶«"	1
"ÏôÔÆ"	"·ÊÄ§"	1
"ÏôÔÆ"	"·Ò·Ò"	1
"ÏôÔÆ"	"ºÎ³ÏÁÁ"	1
"ÏôÔÆ"	"åÈÄÏ"	1
"ÏôÔÆ"	"½¯ÔóÁú"	1
"ÏôÔÆ"	"¿û×Ó"	1
"ÏôÔÆ"	"ÀîÏ£"	1
"ÏôÔÆ"	"ÀîÐ¡´Ð´Ï"	1
"ÏôÔÆ"	"ÀîÐ¡´Ïd"	1
"ÏôÔÆ"	"ÀîÕ¹Ææ"	1
"ÏôÔÆ"	"ÁÖ±ÌÈÝ"	1
"ÏôÔÆ"	"ÁÖ¶¬½à"	1
"ÏôÔÆ"	"ÁãÁãºó"	1
"ÏôÔÆ"	"ÁõÊ¯Ñó×Ó"	1
"ÏôÔÆ"	"Á÷»¨"	1
"ÏôÔÆ"	"ÃÄ"	1
"ÏôÔÆ"	"Ä«°×"	1
"ÏôÔÆ"	"Ä¾µ¶ºÌ"	1
"ÏôÔÆ"	"Ä¾Ä¾"	1
"ÏôÔÆ"	"Å¶Âó¸Á"	1
"ÏôÔÆ"	"Å·"	1
"ÏôÔÆ"	"ÅÖÆó¶ì"	1
"ÏôÔÆ"	"Ç®"	1
"ÏôÔÆ"	"ÇàÓñ"	1
"ÏôÔÆ"	"Çñ"	1
"ÏôÔÆ"	"ÇïÓî"	1
"ÏôÔÆ"	"ÈðÎÄ"	1
"ÏôÔÆ"	"Éò¿­"	1
"ÏôÔÆ"	"Ë³È»"	1
"ÏôÔÆ"	"ËÎº£"	1
"ÏôÔÆ"	"ÌÔÆøµÄÕÅÏÈÉ­"	1
"ÏôÔÆ"	"Ð¤ÁúÈ¨"	1
"ÏôÔÆ"	"Ð¡³ÂÐ¡³Â"	1
"ÏôÔÆ"	"Ð¡äÚä¢"	1
"ÏôÔÆ"	"Ð¡Ð¡"	1
"ÏôÔÆ"	"ÑîÐÀ"	1
"ÏôÔÆ"	"ÑýÑý"	1
"ÏôÔÆ"	"Òø½´"	1
"ÏôÔÆ"	"ÓÀ»Û"	1
"ÏôÔÆ"	"ÓàÅô¸Õ"	1
"ÏôÔÆ"	"ÕÅÉý"	1
"ÏôÔÆ"	"ÕÌ½£ÒÔ¸è"	1
"ÏôÔÆ"	"ÕâÃ¨ºÜÀÁ"	1
