"source"	"target"	"time"
"Ô¬²©¿­"	"DC"	2
"Ô¬²©¿­"	"Memor_Y"	2
"Ô¬²©¿­"	"Ô¬ÅÎÅÎ"	2
"Ô¬²©¿­"	"bjergsen"	1
"Ô¬²©¿­"	"Crystal ÍõÑÅÙ»"	1
"Ô¬²©¿­"	"diana"	1
"Ô¬²©¿­"	"Diana úß"	1
"Ô¬²©¿­"	"Fish"	1
"Ô¬²©¿­"	"Jack"	1
"Ô¬²©¿­"	"kevinl"	1
"Ô¬²©¿­"	"ottg"	1
"Ô¬²©¿­"	"Pieces"	1
"Ô¬²©¿­"	"VivianÖí"	1
"Ô¬²©¿­"	"xiaojun"	1
"Ô¬²©¿­"	"Ýí"	1
"Ô¬²©¿­"	"³Â½õÌÎ"	1
"Ô¬²©¿­"	"»Û½Ü½Ü"	1
"Ô¬²©¿­"	"À×ÎÄÖÇÂÉÊ¦"	1
"Ô¬²©¿­"	"ÀîîÈÆ¼"	1
"Ô¬²©¿­"	"Åí¹âÃ÷"	1
"Ô¬²©¿­"	"ÈôÁÚ"	1
"Ô¬²©¿­"	"ÈôÁÙ"	1
"Ô¬²©¿­"	"ÉñÏÉÓãÚÀ"	1
"Ô¬²©¿­"	"Êø¸ºÄ¾Ä¾"	1
"Ô¬²©¿­"	"ËÎ»ª"	1
"Ô¬²©¿­"	"ÍõºÆ"	1
"Ô¬²©¿­"	"Ð¡Î¢"	1
"Ô¬²©¿­"	"Ð¦"	1
"Ô¬²©¿­"	"ÕÅÉý"	1
"Ô¬²©¿­"	"ÕÅÑÒ"	1
"Ô¬²©¿­"	"ÖÜÅô"	1
"Ô¬²©¿­"	"×©ÐÄ"	1
