"source"	"target"	"time"
"Ê«Ãô"	"Çñ"	3
"Ê«Ãô"	"Ð¡ÇÇ"	3
"Ê«Ãô"	"April"	2
"Ê«Ãô"	"¹¬²ØÒ»µ¶"	2
"Ê«Ãô"	"Å·"	2
"Ê«Ãô"	"8¶Ö"	1
"Ê«Ãô"	"Amy Feng"	1
"Ê«Ãô"	"big bear"	1
"Ê«Ãô"	"Chris"	1
"Ê«Ãô"	"Dubhe"	1
"Ê«Ãô"	"Fang_Zzz"	1
"Ê«Ãô"	"Felikex"	1
"Ê«Ãô"	"JL"	1
"Ê«Ãô"	"ruiwen"	1
"Ê«Ãô"	"Seki"	1
"Ê«Ãô"	"sherry"	1
"Ê«Ãô"	"Shiying Ê«Ó±"	1
"Ê«Ãô"	"±±Ö®Óã"	1
"Ê«Ãô"	"±ò"	1
"Ê«Ãô"	"¶÷¶÷"	1
"Ê«Ãô"	"ÐÐÕßÎÞ½®"	1
"Ê«Ãô"	"»¨Ïã"	1
"Ê«Ãô"	"»ÆÞÈÇ¿"	1
"Ê«Ãô"	"ÀÍÏþö©"	1
"Ê«Ãô"	"ÀëÓÓ"	1
"Ê«Ãô"	"ÀîÏ£"	1
"Ê«Ãô"	"Æß·ÖÊì"	1
"Ê«Ãô"	"ÈýÒ¶"	1
"Ê«Ãô"	"Ë³È»"	1
"Ê«Ãô"	"Î¬ÏÍ"	1
"Ê«Ãô"	"ÐÜÃ¨"	1
"Ê«Ãô"	"ÑÕ"	1
"Ê«Ãô"	"Ò¦½¡"	1
"Ê«Ãô"	"ÓÀ»Û"	1
"Ê«Ãô"	"ÓàÁÖ·É"	1
"Ê«Ãô"	"ÖÓÃÀÁ«"	1
